"Segundo o Capítulo 1, qual é o significado de a organização de Jeová ser governada de modo teocrático?","Significa que ela é governada por Jeová, que é o Cabeça sobre todos."
"No livro de Apocalipse, o que os anjos proclamam sobre Jeová Deus?","Eles proclamam: 'Santo, santo, santo é Jeová Deus, o Todo-Poderoso, que era, que é e que vem.'"
"De acordo com Efésios 1:22, qual posição Deus designou a Jesus Cristo em relação à congregação?",Deus o fez cabeça sobre todas as coisas no que se refere à congregação.
O que representa o grandioso carro celestial descrito na profecia de Ezequiel?,Representa a parte invisível da organização de Jeová.
"O que impulsiona o carro celestial de Jeová, garantindo que ele não ande sem controle?","O espírito de Jeová impulsiona o carro, fazendo com que a organização vá para onde ele quer."
"Qual é a figura-chave na realização do propósito de Jeová para a humanidade, servindo como o único meio para recuperar o favor de Deus?",Jesus Cristo é a figura-chave.
"Como Sumo Sacerdote, do que Jesus é capaz em relação às nossas fraquezas?",Ele é capaz de 'compreender as nossas fraquezas' e fazer expiação pelos pecados.
"De acordo com Mateus 23:10, quem é o único Líder da congregação cristã?","O único Líder é um só, o Cristo."
"A partir do Pentecostes do ano 33, quem serviu como corpo governante para a recém-formada congregação cristã?",Os fiéis apóstolos do Senhor Jesus Cristo.
Quem é identificado hoje como 'o escravo fiel e prudente' mencionado em Mateus 24?,O Corpo Governante das Testemunhas de Jeová.
O 'escravo fiel e prudente' é composto por um pequeno grupo de cristãos _____ diretamente envolvidos na preparação e distribuição do alimento espiritual.,ungidos
Quem são os 'domésticos' que são alimentados pelo escravo fiel?,"Inicialmente eram os ungidos, mas depois passaram a incluir a grande multidão de 'outras ovelhas'."
Por que é essencial ser obediente e submisso às orientações dos que exercem liderança na organização?,Porque eles vigiam sobre nós para nossa proteção e bem-estar espirituais e prestarão contas disso.
Em que ano a congregação cristã foi formada e qual evento marcou sua formação?,"Foi formada no Pentecostes do ano 33, quando o espírito santo foi derramado sobre os discípulos."
Quem o Corpo Governante designa para formar uma Comissão de Filial?,Três ou mais anciãos.
O que é um circuito na organização das Testemunhas de Jeová?,É um agrupamento de congregações supervisionadas por uma filial.
Qual foi a exortação de Pedro aos anciãos em 1 Pedro 5:2 sobre como pastorear o rebanho de Deus?,"Pastoreiem o rebanho de Deus que está aos seus cuidados, servindo como superintendentes de boa vontade, com entusiasmo e tornando-se exemplos."
Um dos requisitos para um superintendente é ser 'marido de uma só esposa'. O que isso significa?,"Significa que, se for casado, deve se apegar ao padrão cristão para o casamento."
Por que um superintendente não deve ser um 'recém-convertido'?,Para que não se encha de orgulho e caia no julgamento aplicado ao Diabo.
"Qual requisito para anciãos, mencionado em Tito 1:9, envolve a habilidade de encorajar e repreender?",Apegar-se firmemente à palavra fiel com respeito à sua arte de ensino.
"A 'sabedoria de cima', que um ancião deve demonstrar, é descrita como sendo 'pacífica e _____'.",razoável
Qual irmão preside as reuniões do corpo de anciãos e trabalha humildemente com os outros anciãos?,O coordenador do corpo de anciãos.
Qual é a responsabilidade do superintendente de serviço?,Ele supervisiona a programação para o serviço de campo e visita regularmente os grupos de serviço de campo.
Quem forma a comissão de serviço da congregação?,"O coordenador do corpo de anciãos, o secretário e o superintendente de serviço."
Com que frequência um superintendente de circuito visita as congregações em seu circuito?,"Em geral, duas vezes por ano."
Qual é a principal tarefa dos servos ministeriais na congregação?,"Eles prestam serviços que ajudam os anciãos, permitindo que estes se concentrem no ensino e pastoreio."
"De acordo com 1 Timóteo 3:13, o que os homens que servem bem como servos ministeriais adquirem para si?",Adquirem para si uma boa reputação e podem falar com grande confiança sobre a fé.
"Antes de serem designados, os servos ministeriais devem ser primeiro _____ quanto à aptidão.",examinados
Cite três serviços práticos que os servos ministeriais podem ser designados a realizar na congregação.,"Cuidar das publicações, dos registros da congregação, dos microfones, operar o som, servir como indicadores ou ajudar na manutenção do Salão do Reino."
"Segundo Hebreus 10:24, 25, por que os cristãos não devem deixar de se reunir?","Para pensarem uns nos outros a fim de se estimularem ao amor e às boas obras, e se encorajarem mutuamente."
A reunião do fim de semana é composta de duas seções. Quais são elas?,Um discurso público e o estudo de A Sentinela.
Qual é o nome da reunião do meio de semana e quais são suas três seções principais?,"A reunião chama-se Nossa Vida e Ministério Cristão e suas seções são: Tesouros da Palavra de Deus, Faça Seu Melhor no Ministério e Nossa Vida Cristã."
"Qual é a reunião mais importante do ano para as Testemunhas de Jeová, realizada em obediência a uma ordem específica de Jesus?","A Celebração da morte de Cristo, ou Ceia do Senhor."
A data da Celebração da morte de Cristo corresponde a que festividade bíblica?,"Corresponde à data da Páscoa bíblica, 14 de nisã."
O que um estudante da Bíblia deve fazer antes de ser convidado a participar no ministério de casa em casa pela primeira vez?,Ele deve satisfazer certos requisitos e harmonizar sua vida com os padrões de justiça de Jeová.
Quem se reúne com um estudante da Bíblia para determinar se ele se qualifica para se tornar um publicador não batizado?,Dois anciãos (um deles da comissão de serviço).
Qual é a diferença entre dedicação e batismo?,"A dedicação é uma promessa pessoal a Jeová em oração, enquanto o batismo em água é o símbolo público dessa dedicação."
O que deve ser contado como uma 'revisita' no relatório de serviço de campo?,Qualquer visita feita com o objetivo de cultivar o interesse de alguém que não é uma Testemunha de Jeová batizada.
Sob que circunstâncias um publicador pode relatar o tempo de serviço de campo em frações de 15 minutos?,"Quando está muito limitado devido à idade avançada, impossibilitado de sair de casa, ou incapacitado de alguma outra forma."
Qual método de pregação se tornou a 'marca registrada' das Testemunhas de Jeová?,A pregação de casa em casa.
"Ao fazer revisitas, qual é geralmente o objetivo principal do publicador?",Iniciar um estudo bíblico com a pessoa interessada.
Qual ferramenta digital é destacada como excelente para divulgar as boas novas e encontrar informações bíblicas em centenas de idiomas?,"O site oficial, jw.org."
Como o território de uma congregação é organizado para garantir uma cobertura completa?,É dividido em territórios menores (de grupo ou pessoais) que são designados aos publicadores.
"O que deve ser feito se, ao pregar, encontrar-se uma pessoa interessada que fala outro idioma?",Deve-se tentar encontrar alguém que possa ajudá-la no idioma dela e continuar a visitá-la até que esse contato seja estabelecido.
Qual é a principal obra que Jesus deu aos seus discípulos?,Pregar as boas novas do Reino e fazer discípulos.
O que é o serviço de pioneiro auxiliar?,É uma modalidade de serviço em que um publicador batizado se compromete a dedicar um número específico de horas à pregação por um ou mais meses.
Que tipo de treinamento é oferecido na Escola para Evangelizadores do Reino?,"É um treinamento para pioneiros (solteiros ou casais) se tornarem evangelizadores mais eficazes, sendo depois enviados para onde há mais necessidade."
O que significa o nome 'Betel' e que tipo de trabalho é realizado lá?,"Betel significa 'Casa de Deus', e lá se realiza um trabalho vital relacionado à produção, tradução e distribuição de publicações bíblicas e à supervisão da obra de pregação."
Qual é o principal local de reuniões de uma congregação das Testemunhas de Jeová?,O Salão do Reino.
Como são cobertas as despesas para o funcionamento e a manutenção do Salão do Reino?,São cobertas por donativos voluntários colocados em caixas de contribuições.
"Quando várias congregações usam o mesmo Salão do Reino, que comissão é formada para coordenar os assuntos do prédio?","Uma Comissão de Manutenção do Salão do Reino, composta por anciãos das congregações envolvidas."
O que são Salões de Assembleias?,"São locais maiores, próprios ou alugados, usados para reuniões como assembleias de circuito e congressos regionais."
A obra mundial de pregação das Testemunhas de Jeová é financiada principalmente por quem?,É apoiada principalmente pelas próprias Testemunhas de Jeová através de donativos voluntários.
Como são cuidadas as despesas de uma assembleia de circuito?,São cobertas pelos donativos das Testemunhas de Jeová do respectivo circuito.
"De acordo com 1 Timóteo 5, quem tem a principal responsabilidade de cuidar das necessidades materiais de cristãos idosos ou doentes?","Seus filhos, netos, ou outros parentes próximos."
"O princípio orientador em 1 Coríntios 10:31 declara que, quer comamos, quer bebamos, quer façamos qualquer outra coisa, devemos fazer tudo para a _____ de Deus.",glória
O que significa para um cristão permanecer santo?,"Significa permanecer sem mancha, livre da contaminação do pecado e da conduta do mundo, sendo colocado à parte para o serviço sagrado."
"De acordo com 2 Coríntios 7:1, de que tipo de imundície os cristãos devem se purificar?",De toda imundície da carne e do espírito.
"Por que o modo de um cristão se vestir e se arrumar é importante, especialmente no ministério e nas reuniões?",Porque pode influenciar o conceito que outros têm sobre a adoração de Jeová e deve sempre honrá-lo e glorificá-lo.
Que tipo de entretenimento os cristãos devem rejeitar?,"Devem rejeitar entretenimento que envolva violência, imoralidade, espiritismo ou qualquer coisa que viole os padrões justos de Jeová."
Por que a maioria dos jovens Testemunhas de Jeová prefere não participar de atividades extracurriculares na escola?,Para se manterem separados do mundo e não se contagiarem com o espírito de competição e nacionalismo.
"De acordo com Hebreus 12:6, como devemos encarar a disciplina ou repreensão que recebemos de Jeová?",Devemos encará-la como uma expressão do amor de nosso Pai celestial por nós.
"Segundo 1 Pedro 4:8, o que o 'intenso amor uns pelos outros' é capaz de fazer em relação aos pecados?",O amor cobre uma multidão de pecados.
"Qual é o conselho de Jesus em Mateus 5:23, 24 se nos lembrarmos que um irmão tem algo contra nós?","Devemos deixar nossa dádiva no altar, ir e fazer as pazes com o irmão primeiro, e depois voltar para oferecer a dádiva."
"Em Gálatas 6:1, como os que têm qualificações espirituais devem tentar reajustar alguém que deu um passo em falso?",Devem tentar reajustar essa pessoa num espírito de brandura.
"O que significa 'tomar nota' de um irmão, conforme descrito em 2 Tessalonicenses 3?","Significa parar de se associar socialmente com alguém que anda de modo indisciplinado, para que fique envergonhado."
"Ao 'tomar nota' de alguém, como essa pessoa deve ser tratada?","Não deve ser considerada como inimiga, mas deve-se continuar a aconselhá-la como irmão."
