Qual é o principal objetivo do livro “Venha Ser Meu Seguidor”?,"Ajudar a entender melhor como ser um seguidor de Jesus, em vez de contar em detalhes sua vida e ministério."
"Segundo Jesus, o que envolve ser um verdadeiro seguidor dele, além de palavras e sentimentos?",Envolve ações que demonstram o seguimento a ele.
"De acordo com o Capítulo 2, por que só é possível se achegar ao Pai por meio do Filho?",Porque Jesus tem um papel vital na realização do propósito universal de Deus.
"Que qualidade marcou o ministério de Jesus na Terra do começo ao fim, conforme o Capítulo 3?",A humildade.
"Jesus demonstrou coragem semelhante à do leão de três modos: por defender a verdade, apoiar a justiça e _____.",enfrentar oposição
"O que o convite de Jesus, “Venha ser meu seguidor”, revela sobre o jovem líder rico?",Revelou que ele era apegado demais aos seus bens e amava mais essas coisas do que a Cristo.
"Por que, segundo Jeremias 10:23, os humanos precisam de boa liderança?",Porque não cabe ao homem nem mesmo dirigir os seus passos.
"O que faz de Jesus um líder diferente, conforme indicado por seu título “Cristo”?","Ele foi escolhido e ungido pelo próprio Jeová Deus, o Soberano Senhor do Universo."
Em que sentido Jesus provou ser “o bom pastor”?,Ele deu a vida por seus seguidores e conhece cada um deles individualmente.
"De acordo com Mateus 7:21, quem entrará no Reino dos céus?",Apenas aquele que fizer a vontade do Pai que está nos céus.
O que significa exercer fé no Filho de Deus para obter a vida eterna?,Significa estar convencido de que a vida eterna é impossível sem ele e demonstrar essa fé por meio de obras.
Por que Jesus é chamado de “o caminho”?,Porque é somente através de seu sacrifício de resgate e de seu exemplo que podemos nos achegar a Deus.
Em que sentido Jesus era “a verdade”?,"Pelo modo como viveu, ele fez com que os modelos proféticos das Escrituras se tornassem realidade."
Como Jesus também é “a vida” para os que já morreram?,"Ele é a ressurreição e a vida, tendo poder para ressuscitar os mortos."
Que contraste Jesus mencionou entre a atitude dos governantes do mundo e a que seus seguidores precisavam cultivar?,"Os governantes dominam sobre as pessoas, mas os seguidores de Jesus devem ser servos humildes."
"Na noite antes de morrer, que tarefa humilde Jesus realizou para ensinar uma lição inesquecível aos apóstolos?",Ele lavou os pés de cada um dos apóstolos.
"De acordo com Filipenses 2:3, como podemos mostrar humildade de coração?","Considerando os outros superiores a nós, sem fazer nada por rivalidade nem por presunção."
A Bíblia compara a coragem de Jesus à de um animal. Que animal é esse?,"O leão, chamando-o de “o Leão da tribo de Judá”."
"Com que idade Jesus demonstrou coragem ao defender a verdade no templo, questionando os instrutores religiosos?",Aos 12 anos de idade.
"Ao conversar com uma mulher samaritana, que preconceitos injustos Jesus ignorou?",Ele ignorou o ódio geral dos judeus pelos samaritanos e o conceito depreciativo que os rabinos tinham das mulheres.
"No Sermão do Monte, que tipo de qualidades Jesus nos incentiva a cultivar na mente e no coração?","Qualidades como temperamento brando, anseio pela justiça, amor, disposição para perdoar e ser pacificador."
"Ao dar conselhos contra a conduta errada, como Jesus vai à raiz do problema?","Ele chama atenção para as atitudes e desejos no coração que levam à conduta errada, como a ira e os desejos impróprios."
Que tipo de vida Jesus escolheu ter para se concentrar em fazer a vontade de Deus?,"Ele escolheu ter uma vida simples, sem interesse em ganhar dinheiro ou juntar bens materiais."
A Bíblia associa a sabedoria com a modéstia. Como Jesus demonstrou modéstia?,"Ele reconheceu suas limitações, confiou a obra a seus seguidores e aceitou ajuda dos anjos."
"Mesmo ciente das imperfeições de seus discípulos, no que Jesus se concentrava?",Ele se concentrava em suas boas qualidades e não duvidava da lealdade deles.
A frase “ele aprendeu a obediência por meio das coisas que sofreu” aplica-se a quem?,A Jesus Cristo.
"Como Jesus, que sempre obedeceu, pôde ‘aprender a obediência’?","Sua obediência foi testada na Terra de maneiras que ele nunca enfrentou no céu, tornando-a mais forte."
Qual foi a primeira tentação de Satanás a Jesus no deserto?,Satanás o tentou a transformar pedras em pães.
"Qual foi a terceira e mais direta tentação de Satanás, oferecendo a Jesus todos os reinos do mundo?",Satanás ofereceu os reinos em troca de um único ato de adoração.
Qual foi a reação de Jesus quando Pedro tentou convencê-lo de que não precisava sofrer e morrer?,"Jesus recusou firmemente o conselho, mesmo sendo bem-intencionado."
"No sentido bíblico, o que a perseverança envolve além de simplesmente passar por uma dificuldade?","Envolve firmeza, manter a atitude mental correta e não perder a esperança ao enfrentar provações."
"O que, segundo Romanos 5:3, produz perseverança?",O sofrimento.
Um dos fatores que ajudou Jesus a perseverar foi olhar à frente para a _____ que lhe foi apresentada.,alegria
"Qual era a principal obra da vida de Jesus, para a qual ele foi enviado?",Declarar as boas novas do Reino de Deus.
"Na ilustração do dono de casa, o que representam as “coisas novas e coisas velhas” que ele tira de seu tesouro?","Representam as verdades valiosas que Jesus ensinava, tiradas de seu conhecimento e sabedoria."
Qual foi o tema principal do ministério de Jesus?,O Reino de Deus.
Como Jesus ilustrou a urgência da obra de pregação ao falar com seus discípulos em Samaria?,"Ele disse: “Ergam os olhos e vejam os campos, como estão brancos para a colheita.”"
Jesus disse que seus seguidores fariam obras maiores do que as dele. Em que três maneiras isso aconteceria?,"Eles abrangeriam um território maior, alcançariam mais pessoas e sua pregação continuaria por mais tempo."
Que instrução Jesus deu aos discípulos sobre confiar em Jeová para suas necessidades enquanto pregavam?,"Ele os instruiu a não levar bolsa de provisões, nem sandálias extras, confiando que Jeová cuidaria deles."
Por que Jesus disse a seus discípulos para não cumprimentarem ninguém ao longo da estrada?,"Para que usassem o tempo da melhor maneira possível, pois a mensagem era urgente e os cumprimentos da época eram demorados."
A comissão de “fazer discípulos de pessoas de todas as nações” se aplica até quando?,Até o final do sistema de coisas.
"O que é um passo vital na vida de um discípulo, simbolizando sua dedicação de todo o coração a Deus?",O batismo.
Que promessa animadora Jesus fez ao dar a comissão de fazer discípulos?,"Ele prometeu: “E saibam que eu estou com vocês todos os dias, até o final do sistema de coisas.”"
"Em Nazaré, em vez de realizar um milagre, que prova Jesus apresentou de que ele era o Messias?",Ele leu um trecho da profecia de Isaías na sinagoga e aplicou-a a si mesmo.
"Quando os líderes religiosos questionaram a autoridade de Jesus no templo, o que ele já havia deixado claro?","Que a fonte de sua autoridade era a Palavra inspirada de seu Pai, não ele mesmo."
"Após sua ressurreição, o que Jesus fez por dois discípulos na estrada para Emaús?","Ele interpretou para eles as coisas a respeito de si mesmo nas Escrituras, começando por Moisés e todos os Profetas."
O que fez com que os guardas enviados para prender Jesus voltassem de mãos vazias?,Eles ficaram tão impressionados com o ensino de Jesus que disseram: “Nunca homem algum falou assim!”
"Qual é uma característica marcante do ensino de Jesus, exemplificada no Sermão do Monte?",A simplicidade; ele usava palavras e frases que até uma criança poderia entender.
Que tipo de perguntas Jesus usava com frequência para fazer as pessoas pensar e examinar suas próprias motivações?,Perguntas de sondagem.
Que tipo de raciocínio lógico Jesus usou para ensinar que Jeová cuida de seus servos?,"Ele usou o raciocínio “quanto mais”, comparando o cuidado de pais humanos com o cuidado muito maior do Pai celestial."
"Segundo Jesus, por que ele falava por meio de ilustrações?","Para revelar a verdade aos de coração humilde e, ao mesmo tempo, ocultá-la dos que tinham coração orgulhoso."
"O Sermão do Monte, que pode ser lido em cerca de 20 minutos, contém mais de quantas figuras de linguagem?",Mais de 50 figuras de linguagem.
"De onde Jesus tirava os elementos para suas ilustrações, tornando-as fáceis de entender?","Ele tirava de coisas do dia a dia que as pessoas conheciam, como agricultura, pesca e tarefas domésticas."
"O que impulsiona ou impele os seguidores de Cristo, segundo o apóstolo Paulo?",O amor do Cristo.
Qual foi a principal maneira pela qual Jesus mostrou que amava o Pai?,Ele demonstrou amor por obedecer plenamente ao Pai.
Por que Jesus procurava ficar a sós para orar?,"Para falar livremente com seu Pai em oração, mantendo forte seu amor por Jeová."
"Ao ver seus discípulos repreenderem os pais que traziam seus filhos, como Jesus reagiu?",Ele ficou indignado com os discípulos e disse: “Deixem as criancinhas vir a mim.”
"Qual era a atitude dos líderes religiosos para com as pessoas comuns, que Jesus não compartilhava?","Eles as desprezavam, chamando-as de “povo da terra” e “amaldiçoadas”."
"Qual foi o primeiro milagre de Jesus, e o que ele revela sobre seu interesse nas preocupações das pessoas?","Transformar água em vinho num casamento em Caná, mostrando que as preocupações das pessoas eram importantes para ele."
"O que significa a expressão “teve pena”, usada para descrever os sentimentos de Jesus?","Significa ser tocado no mais íntimo de seu ser, um dos verbos gregos mais fortes para compaixão."
O que motivou Jesus a tomar a iniciativa de ressuscitar o filho de uma viúva em Naim?,Sua compaixão de coração o motivou; ele não precisou que ninguém lhe pedisse.
Qual era a condição espiritual das multidões que motivava a compaixão de Jesus?,"Elas eram como ovelhas sem pastor, esfoladas e jogadas de um lado para outro."
"Como Jesus mostrou paciência com seus apóstolos, apesar de suas falhas recorrentes?","Ele nunca desistiu deles e raciocinou pacientemente com eles, mesmo quando discutiam sobre quem era o maior."
Jesus predisse que designaria um “escravo fiel e prudente” para qual propósito nos últimos dias?,"Para garantir que Seus seguidores fossem bem nutridos espiritualmente, providenciando alimento no tempo apropriado."
O que significa a declaração de que o amor “acredita em todas as coisas” no contexto da confiança de Jesus em seus discípulos?,"Significa que o amor não é desconfiado, mas está pronto para confiar, concentrando-se no bem dos outros."
Qual foi a maior demonstração de amor de Jesus por seus amigos?,Sua disposição de dar a sua vida por eles.
Qual foi o motivo principal que levou Jesus a dar sua vida?,"Seu profundo amor por seu Pai, Jeová, e o desejo de santificar Seu nome e reputação."
Como os pais podem imitar o amor abnegado de Jesus?,Colocando as necessidades espirituais e físicas de seus filhos acima das suas próprias.
Como um marido cristão imita o amor abnegado de Cristo pela congregação?,Ele põe as necessidades e os interesses de sua esposa à frente dos seus e está disposto a ceder.
O que o derramamento do espírito santo no Pentecostes provou sobre o sacrifício de Jesus?,Provou que Jeová Deus tinha aceitado e aprovado o sacrifício de resgate de Cristo.
Quem se beneficia do sacrifício de resgate de Cristo?,"Todos os seus seguidores, tanto o “pequeno rebanho” que governará no céu quanto as “outras ovelhas” que viverão na Terra."
"Por que Jesus, que é brando, fica cheio de indignação justa com as organizações religiosas que afirmam representá-lo?",Porque elas desobedecem deliberadamente a suas instruções e deixam as pessoas famintas em sentido espiritual.
Por que seguir a Cristo nos ajuda a ter uma consciência limpa e paz mental?,Porque vivemos de acordo com seus ensinamentos e temos nossos pecados perdoados com base em seu sacrifício.
Em que sentido Jesus é o “Pai Eterno” para os que têm esperança de viver na Terra?,"Ele substitui o pai humano, Adão, e oferece a esperança certa de vida eterna."
"Após seu Reinado de Mil Anos, o que Jesus fará com o reinado?","Ele devolverá o reinado a seu Pai, Jeová."
